,,,,,,,,,,,,,,,,,,,,,,,,
"Week of July 21, 2026 - COT Leveraged Funds >>> valid for trades from July 27, 2026",,,,,,,,,,,,,,,,,,,,,,,,
Currency,Contract Value,Open Interest TOTAL,Open Interest TOTAL USD,Open Interest LF,Open Interest LF USD,Long Positions,Long Value,Short Positions,Short Value,Net Positions,Net Percent,Net Percent LF,Net % LF Δ,Net Value (Base Currency),Net Value USD,,Currency Pairs - LF Strength Index,,,,,,,
USD (DXY),"104,500","27,224","2,844,908,000","24,171","2,525,869,500","16,141","1,686,734,500","8,030","839,135,000","8,111",29.79%,33.56%,15.65%,"847,599,500","847,599,500",,USDCHF,GBPCHF,USDCAD,GBPCAD,EURCHF,EURCAD,GBPAUD,
EUR,"125,000","708,122","95,596,470,000","139,702","18,859,770,000","80,754","10,094,250,000","58,948","7,368,500,000","21,806",3.08%,15.61%,-8.25%,"2,725,750,000","2,943,810,000",,52.90%,52.10%,50.50%,49.70%,43.90%,41.50%,40.50%,
GBP,"62,500","177,006","14,049,851,250","106,828","8,479,472,500","70,443","4,402,687,500","36,385","2,274,062,500","34,058",19.24%,31.88%,-12.22%,"2,128,625,000","2,703,353,750",,GBPNZD,EURAUD,EURNZD,NZDCHF,NZDCAD,AUDCHF,AUDCAD,
CAD,"100,000","249,484","18,212,332,000","76,009","5,548,657,000","12,380","1,238,000,000","63,629","6,362,900,000","-51,249",-20.54%,-67.42%,9.64%,"-5,124,900,000","-3,741,177,000",,35.20%,32.40%,27.10%,16.80%,14.40%,11.60%,9.20%,
AUD,"100,000","178,747","11,618,555,000","49,504","3,217,760,000","12,595","1,259,500,000","36,909","3,690,900,000","-24,314",-13.60%,-49.12%,-3.38%,"-2,431,400,000","-1,580,410,000",,USDJPY,GBPJPY,CADCHF,GBPUSD,EURJPY,AUDNZD,EURGBP,
NZD,"100,000","66,702","4,002,120,000","24,508","1,470,480,000","7,524","752,400,000","16,984","1,698,400,000","-9,460",-14.18%,-38.60%,-0.45%,"-946,000,000","-567,600,000",,6.00%,5.20%,2.40%,-0.80%,-3.00%,-5.30%,-8.10%,
CHF,"125,000","73,479","10,287,060,000","19,208","2,689,120,000","2,666","333,250,000","16,542","2,067,750,000","-13,876",-18.88%,-72.24%,7.65%,"-1,734,500,000","-1,942,640,000",,EURUSD,NZDJPY,AUDJPY,NZDUSD,AUDUSD,CADJPY,CHFJPY,
JPY,"12,500,000","338,849","28,378,603,750","84,144","7,047,060,000","51,122","639,025,000,000","33,022","412,775,000,000","18,100",5.34%,21.51%,-0.95%,"226,250,000,000","1,515,875,000",,-9.00%,-30.10%,-35.30%,-36.10%,-41.30%,-44.50%,-46.90%,
SP500 (E-MINI),"265,000","2,181,908","578,205,620,000","550,773","145,954,845,000","159,652","42,307,780,000","391,121","103,647,065,000","-231,469",-10.61%,-42.03%,-3.89%,"-61,339,285,000","-61,339,285,000",,,,,,,,,
NAS100 (NQ MINI),"370,000","235,406","87,100,220,000","113,877","42,134,490,000","50,242","18,589,540,000","63,635","23,544,950,000","-13,393",-5.69%,-11.76%,-16.08%,"-4,955,410,000","-4,955,410,000",,,,,,,,,
US30 (YM),"200,000","73,931","14,786,200,000","20,525","4,105,000,000","9,330","1,866,000,000","11,195","2,239,000,000","-1,865",-2.52%,-9.09%,-21.15%,"-373,000,000","-373,000,000",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
"Week of April 8, 2025 - COT Leveraged Funds >>> valid for trades from April 14, 2025",,,,,,,,,,,,,,,,,,,,,,,,
Currency,Contract Value,Open Interest TOTAL,Open Interest TOTAL USD,Open Interest LF,Open Interest LF USD,Long Positions,Long Value,Short Positions,Short Value,Net Positions,Net Percent,Net Percent LF,Net % LF Δ,Net Value (Base Currency),Net Value USD,,Currency Pairs - LF Strength Index,,,,,,,
USD (DXY),"104,500","22,770","2,379,465,000","19,728","2,061,576,000","11,631","1,215,439,500","8,097","846,136,500","3,534",15.52%,17.91%,11%,"369,303,000","369,303,000",,GBPCHF,GBPCAD,EURCHF,EURCAD,USDCHF,USDCAD,GBPAUD,
EUR,"125,000","697,776","94,199,760,000","138,632","18,715,320,000","85,855","10,731,875,000","52,777","6,597,125,000","33,078",4.74%,23.86%,1.90%,"4,134,750,000","4,465,530,000",,62.00%,60.60%,51.90%,50.50%,48.90%,47.50%,44.90%,
GBP,"62,500","176,910","14,042,231,250","100,702","7,993,221,250","72,555","4,534,687,500","28,147","1,759,187,500","44,408",25.10%,44.10%,-1.98%,"2,775,500,000","3,524,885,000",,GBPNZD,EURAUD,EURNZD,NZDCHF,NZDCAD,AUDCHF,AUDCAD,
CAD,"100,000","258,263","18,853,199,000","81,542","5,952,566,000","9,354","935,400,000","72,188","7,218,800,000","-62,834",-24.33%,-77.06%,-20.69%,"-6,283,400,000","-4,586,882,000",,41.10%,34.80%,31.00%,20.90%,19.50%,17.10%,15.70%,
AUD,"100,000","194,476","12,640,940,000","64,369","4,183,985,000","17,464","1,746,400,000","46,905","4,690,500,000","-29,441",-15.14%,-45.74%,3.99%,"-2,944,100,000","-1,913,665,000",,GBPUSD,GBPJPY,EURUSD,CADCHF,EURJPY,USDJPY,AUDNZD,
NZD,"100,000","72,109","4,326,540,000","26,050","1,563,000,000","8,056","805,600,000","17,994","1,799,400,000","-9,938",-13.78%,-38.15%,-2.61%,"-993,800,000","-596,280,000",,13.10%,10.80%,3.00%,1.40%,0.70%,-2.30%,-3.80%,
CHF,"125,000","76,433","10,700,620,000","17,783","2,489,620,000","1,788","223,500,000","15,995","1,999,375,000","-14,207",-18.59%,-79.89%,1.76%,"-1,775,875,000","-1,988,980,000",,EURGBP,NZDUSD,NZDJPY,AUDUSD,AUDJPY,CADJPY,CHFJPY,
JPY,"12,500,000","320,758","26,863,482,500","85,639","7,172,266,250","52,436","655,450,000,000","33,203","415,037,500,000","19,233",6%,22.46%,9.45%,"240,412,500,000","1,610,763,750",,-10.10%,-28.00%,-30.30%,-31.80%,-34.10%,-49.80%,-51.20%,
SP500 (E-MINI),"265,000","2,332,802","618,192,530,000","700,489","185,629,585,000","216,672","57,418,080,000","483,817","128,211,505,000","-267,145",-11.45%,-38.14%,5.36%,"-70,793,425,000","-70,793,425,000",,,,,,,,,
NAS100 (NQ MINI),"370,000","254,563","94,188,310,000","130,220","48,181,400,000","67,920","25,130,400,000","62,300","23,051,000,000","5,620",2.21%,4.32%,28.14%,"2,079,400,000","2,079,400,000",,,,,,,,,
US30 (YM),"200,000","73,838","14,767,600,000","20,753","4,150,600,000","11,628","2,325,600,000","9,125","1,825,000,000","2,503",3.39%,12.06%,11.56%,"500,600,000","500,600,000",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
"Week of April 1, 2025 - COT Leveraged Funds >>> valid for trades from April 7, 2025",,,,,,,,,,,,,,,,,,,,,,,,
Currency,Contract Value,Open Interest TOTAL,Open Interest TOTAL USD,Open Interest LF,Open Interest LF USD,Long Positions,Long Value,Short Positions,Short Value,Net Positions,Net Percent,Net Percent LF,Net % LF Δ,Net Value (Base Currency),Net Value USD,,Currency Pairs - LF Strength Index,,,,,,,
USD (DXY),"104,500","29,279","3,059,655,500","28,651","2,994,029,500","15,316","1,600,522,000","13,335","1,393,507,500","1,981",6.77%,6.91%,7.51%,"207,014,500","207,014,500",,GBPCHF,EURCHF,GBPCAD,GBPAUD,USDCHF,GBPNZD,EURCAD,
EUR,"125,000","670,827","90,561,645,000","149,740","20,214,900,000","91,315","11,414,375,000","58,425","7,303,125,000","32,890",4.90%,21.96%,4.71%,"4,111,250,000","4,440,150,000",,63.90%,51.80%,51.20%,47.90%,44.30%,40.80%,39.20%,
GBP,"62,500","187,160","14,855,825,000","104,718","8,311,991,250","76,484","4,780,250,000","28,234","1,764,625,000","48,250",25.78%,46.08%,6.19%,"3,015,625,000","3,829,843,750",,EURAUD,USDCAD,EURNZD,NZDCHF,GBPUSD,GBPJPY,AUDCHF,
CAD,"100,000","278,330","20,318,090,000","87,665","6,399,545,000","19,122","1,912,200,000","68,543","6,854,300,000","-49,421",-17.76%,-56.37%,2%,"-4,942,100,000","-3,607,733,000",,35.80%,31.60%,28.70%,23.10%,19.60%,16.50%,16.00%,
AUD,"100,000","182,766","11,879,790,000","66,599","4,328,935,000","16,740","1,674,000,000","49,859","4,985,900,000","-33,119",-18.12%,-49.73%,0.20%,"-3,311,900,000","-2,152,735,000",,CADCHF,NZDCAD,EURUSD,EURJPY,AUDCAD,USDJPY,AUDNZD,
NZD,"100,000","81,797","4,907,820,000","28,238","1,694,280,000","9,101","910,100,000","19,137","1,913,700,000","-10,036",-12.27%,-35.54%,-9.20%,"-1,003,600,000","-602,160,000",,12.60%,10.40%,7.50%,4.50%,3.30%,-3.00%,-7.10%,
CHF,"125,000","89,248","12,494,720,000","28,048","3,926,720,000","2,573","321,625,000","25,475","3,184,375,000","-22,902",-25.66%,-81.65%,-4.72%,"-2,862,750,000","-3,206,280,000",,EURGBP,NZDUSD,NZDJPY,AUDUSD,AUDJPY,CADJPY,CHFJPY,
JPY,"12,500,000","311,162","26,059,817,500","86,593","7,252,163,750","48,928","611,600,000,000","37,665","470,812,500,000","11,263",3.62%,13.01%,12.64%,"140,787,500,000","943,276,250",,-12.10%,-21.20%,-24.30%,-28.30%,-31.40%,-34.70%,-47.30%,
SP500 (E-MINI),"265,000","2,111,750","559,613,750,000","600,341","159,090,365,000","169,590","44,941,350,000","430,751","114,149,015,000","-261,161",-12.37%,-43.50%,-2.42%,"-69,207,665,000","-69,207,665,000",,,,,,,,,
NAS100 (NQ MINI),"370,000","247,658","91,633,460,000","128,206","47,436,220,000","48,832","18,067,840,000","79,374","29,368,380,000","-30,542",-12.33%,-23.82%,13.43%,"-11,300,540,000","-11,300,540,000",,,,,,,,,
US30 (YM),"200,000","74,497","14,899,400,000","16,219","3,243,800,000","8,150","1,630,000,000","8,069","1,613,800,000",81,0.11%,0.50%,10.26%,"16,200,000","16,200,000",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
"Week of March 25, 2025 - COT Leveraged Funds >>> valid for trades from March 31, 2025",,,,,,,,,,,,,,,,,,,,,,,,
Currency,Contract Value,Open Interest TOTAL,Open Interest TOTAL USD,Open Interest LF,Open Interest LF USD,Long Positions,Long Value,Short Positions,Short Value,Net Positions,Net Percent,Net Percent LF,Net % LF Δ,Net Value (Base Currency),Net Value USD,,Currency Pairs - LF Strength Index,,,,,,,
USD (DXY),"104,500","29,219","3,053,385,500","31,093","3,249,218,500","15,453","1,614,838,500","15,640","1,634,380,000",-187,-0.64%,-0.60%,0.36%,"-19,541,500","-19,541,500",,GBPCHF,GBPCAD,EURCHF,GBPAUD,USDCHF,EURCAD,EURAUD,
EUR,"125,000","672,875","90,838,125,000","152,910","20,642,850,000","89,643","11,205,375,000","63,267","7,908,375,000","26,376",3.92%,17.25%,8.60%,"3,297,000,000","3,560,760,000",,58.40%,49.10%,47.10%,44.90%,38.20%,37.80%,33.60%,
GBP,"62,500","191,212","15,177,452,500","102,048","8,100,060,000","71,377","4,461,062,500","30,671","1,916,937,500","40,706",21.29%,39.89%,8.74%,"2,544,125,000","3,231,038,750",,GBPNZD,USDCAD,NZDCHF,EURNZD,GBPUSD,GBPJPY,NZDCAD,
CAD,"100,000","281,126","20,522,198,000","85,876","6,268,948,000","17,877","1,787,700,000","67,999","6,799,900,000","-50,122",-17.83%,-58.37%,16.21%,"-5,012,200,000","-3,658,906,000",,33.10%,28.90%,25.30%,21.80%,20.20%,19.80%,16.00%,
AUD,"100,000","180,087","11,705,655,000","62,568","4,066,920,000","15,664","1,566,400,000","46,904","4,690,400,000","-31,240",-17.35%,-49.93%,2.99%,"-3,124,000,000","-2,030,600,000",,AUDCHF,CADCHF,EURUSD,EURJPY,AUDCAD,USDJPY,EURGBP,
NZD,"100,000","82,270","4,936,200,000","31,655","1,899,300,000","11,659","1,165,900,000","19,996","1,999,600,000","-8,337",-10.13%,-26.34%,-12.62%,"-833,700,000","-500,220,000",,13.50%,9.30%,8.90%,8.40%,4.20%,-0.50%,-11.30%,
CHF,"125,000","85,731","12,002,340,000","27,494","3,849,160,000","3,172","396,500,000","24,322","3,040,250,000","-21,150",-24.67%,-76.93%,-7.35%,"-2,643,750,000","-2,961,000,000",,AUDNZD,NZDUSD,NZDJPY,AUDUSD,AUDJPY,CADJPY,CHFJPY,
JPY,"12,500,000","303,778","25,441,407,500","83,255","6,972,606,250","41,782","522,275,000,000","41,473","518,412,500,000",309,0.10%,0.37%,7.11%,"3,862,500,000","25,878,750",,-11.80%,-12.90%,-13.40%,-24.70%,-25.10%,-29.40%,-38.70%,
SP500 (E-MINI),"265,000","2,074,351","549,703,015,000","571,105","151,342,825,000","168,249","44,585,985,000","402,856","106,756,840,000","-234,607",-11.31%,-41.08%,-12.81%,"-62,170,855,000","-62,170,855,000",,,,,,,,,
NAS100 (NQ MINI),"370,000","224,189","82,949,930,000","96,340","35,645,800,000","30,225","11,183,250,000","66,115","24,462,550,000","-35,890",-16.01%,-37.25%,-38.04%,"-13,279,300,000","-13,279,300,000",,,,,,,,,
US30 (YM),"200,000","74,443","14,888,600,000","17,064","3,412,800,000","7,699","1,539,800,000","9,365","1,873,000,000","-1,666",-2.24%,-9.76%,-47.21%,"-333,200,000","-333,200,000",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
"Week of March 18, 2025 - COT Leveraged Funds >>> valid for trades from March 24, 2025",,,,,,,,,,,,,,,,,,,,,,,,
Currency,Contract Value,Open Interest TOTAL,Open Interest TOTAL USD,Open Interest LF,Open Interest LF USD,Long Positions,Long Value,Short Positions,Short Value,Net Positions,Net Percent,Net Percent LF,Net % LF Δ,Net Value (Base Currency),Net Value USD,,Currency Pairs - LF Strength Index,,,,,,,
USD (DXY),"104,500","29,600","3,093,200,000","30,809","3,219,540,500","15,256","1,594,252,000","15,553","1,625,288,500",-297,-1%,-0.96%,-50.07%,"-31,036,500","-31,036,500",,GBPCAD,GBPCHF,GBPAUD,EURCAD,EURCHF,USDCAD,USDCHF,
EUR,"125,000","652,620","88,103,700,000","160,241","21,632,535,000","87,050","10,881,250,000","73,191","9,148,875,000","13,859",2.12%,8.65%,11.83%,"1,732,375,000","1,870,965,000",,52.90%,50.40%,42.00%,41.60%,39.10%,36.80%,34.30%,
GBP,"62,500","180,841","14,354,254,375","102,580","8,142,287,500","67,268","4,204,250,000","35,312","2,207,000,000","31,956",17.67%,31.15%,1.50%,"1,997,250,000","2,536,507,500",,EURAUD,NZDCAD,NZDCHF,GBPNZD,GBPJPY,GBPUSD,EURNZD,
CAD,"100,000","347,932","25,399,036,000","85,168","6,217,264,000","10,823","1,082,300,000","74,345","7,434,500,000","-63,522",-18.26%,-74.58%,7.46%,"-6,352,200,000","-4,637,106,000",,30.80%,30.40%,27.90%,22.40%,18.90%,16.10%,11.20%,
AUD,"100,000","180,546","11,735,490,000","56,538","3,674,970,000","13,309","1,330,900,000","43,229","4,322,900,000","-29,920",-16.57%,-52.92%,-13.91%,"-2,992,000,000","-1,944,800,000",,AUDCAD,AUDCHF,EURJPY,EURUSD,USDJPY,CADCHF,NZDJPY,
NZD,"100,000","84,543","5,072,580,000","36,057","2,163,420,000","15,555","1,555,500,000","20,502","2,050,200,000","-4,947",-5.85%,-13.72%,13.82%,"-494,700,000","-296,820,000",,10.80%,8.30%,7.70%,4.80%,2.90%,-2.50%,-3.50%,
CHF,"125,000","80,057","11,207,980,000","24,331","3,406,340,000","3,701","462,625,000","20,630","2,578,750,000","-16,929",-21.15%,-69.58%,-1.20%,"-2,116,125,000","-2,370,060,000",,NZDUSD,EURGBP,AUDNZD,AUDJPY,AUDUSD,CHFJPY,CADJPY,
JPY,"12,500,000","296,567","24,837,486,250","86,529","7,246,803,750","40,348","504,350,000,000","46,181","577,262,500,000","-5,833",-1.97%,-6.74%,-7.19%,"-72,912,500,000","-488,513,750",,-6.40%,-11.20%,-19.60%,-23.10%,-26.00%,-31.40%,-33.90%,
SP500 (E-MINI),"265,000","2,560,662","678,575,430,000","666,698","176,674,970,000","239,099","63,361,235,000","427,599","113,313,735,000","-188,500",-7.36%,-28.27%,-1.77%,"-49,952,500,000","-49,952,500,000",,,,,,,,,
NAS100 (NQ MINI),"370,000","301,517","111,561,290,000","133,367","49,345,790,000","67,212","24,868,440,000","66,155","24,477,350,000","1,057",0.35%,0.79%,-2.25%,"391,090,000","391,090,000",,,,,,,,,
US30 (YM),"200,000","91,941","18,388,200,000","25,121","5,024,200,000","17,264","3,452,800,000","7,857","1,571,400,000","9,407",10.23%,37.45%,10.81%,"1,881,400,000","1,881,400,000",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
"Week of March 11, 2025 - COT Leveraged Funds >>> valid for trades from March 17, 2025",,,,,,,,,,,,,,,,,,,,,,,,
Currency,Contract Value,Open Interest TOTAL,Open Interest TOTAL USD,Open Interest LF,Open Interest LF USD,Long Positions,Long Value,Short Positions,Short Value,Net Positions,Net Percent,Net Percent LF,Net % LF Δ,Net Value (Base Currency),Net Value USD,,Currency Pairs - LF Strength Index,,,,,,,
USD (DXY),"104,500","39,865","4,165,892,500","28,849","3,014,720,500","21,509","2,247,690,500","7,340","767,030,000","14,169",35.54%,49.11%,13.64%,"1,480,660,500","1,480,660,500",,USDCAD,USDCHF,GBPCAD,GBPCHF,EURCAD,GBPAUD,EURCHF,
EUR,"125,000","729,760","98,517,600,000","186,105","25,124,175,000","90,093","11,261,625,000","96,012","12,001,500,000","-5,919",-0.81%,-3.18%,1%,"-739,875,000","-799,065,000",,65.60%,58.70%,55.80%,49.00%,39.40%,34.30%,32.60%,
GBP,"62,500","248,457","19,721,274,375","94,215","7,478,315,625","61,074","3,817,125,000","33,141","2,071,312,500","27,933",11.24%,29.65%,-7.55%,"1,745,812,500","2,217,181,875",,GBPNZD,NZDCAD,USDJPY,AUDCAD,NZDCHF,EURAUD,AUDCHF,
CAD,"100,000","339,922","24,814,306,000","77,353","5,646,769,000","6,946","694,600,000","70,407","7,040,700,000","-63,461",-18.67%,-82.04%,-6.76%,"-6,346,100,000","-4,632,653,000",,28.60%,27.30%,24.30%,21.50%,20.40%,17.90%,14.70%,
AUD,"100,000","258,738","16,817,970,000","60,990","3,964,350,000","18,600","1,860,000,000","42,390","4,239,000,000","-23,790",-9.19%,-39.01%,6.71%,"-2,379,000,000","-1,546,350,000",,GBPJPY,EURNZD,EURJPY,AUDNZD,CADCHF,GBPUSD,NZDJPY,
NZD,"100,000","117,627","7,057,620,000","35,978","2,158,680,000","13,034","1,303,400,000","22,944","2,294,400,000","-9,910",-8.42%,-27.54%,-5.01%,"-991,000,000","-594,600,000",,14.60%,12.20%,-1.80%,-5.70%,-6.80%,-9.70%,-14.00%,
CHF,"125,000","100,493","14,069,020,000","24,481","3,427,340,000","3,870","483,750,000","20,611","2,576,375,000","-16,741",-16.66%,-68.38%,-5.67%,"-2,092,625,000","-2,343,740,000",,EURGBP,AUDJPY,EURUSD,CHFJPY,NZDUSD,CADJPY,AUDUSD,
JPY,"12,500,000","446,178","37,367,407,500","91,693","7,679,288,750","46,055","575,687,500,000","45,638","570,475,000,000",417,0.09%,0.45%,-2.30%,"5,212,500,000","34,923,750",,-16.40%,-19.70%,-26.10%,-34.40%,-38.30%,-41.20%,-44.10%,
SP500 (E-MINI),"265,000","2,282,648","604,901,720,000","730,360","193,545,400,000","268,404","71,127,060,000","461,956","122,418,340,000","-193,552",-8.48%,-26.50%,10.87%,"-51,291,280,000","-51,291,280,000",,,,,,,,,
NAS100 (NQ MINI),"370,000","303,084","112,141,080,000","153,358","56,742,460,000","79,012","29,234,440,000","74,346","27,508,020,000","4,666",1.54%,3.04%,11.05%,"1,726,420,000","1,726,420,000",,,,,,,,,
US30 (YM),"200,000","74,843","14,968,600,000","26,724","5,344,800,000","16,921","3,384,200,000","9,803","1,960,600,000","7,118",9.51%,26.64%,22.84%,"1,423,600,000","1,423,600,000",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
"Week of March 4, 2025 - COT Leveraged Funds >>> valid for trades from March 10, 2025",,,,,,,,,,,,,,,,,,,,,,,,
Currency,Contract Value,Open Interest TOTAL,Open Interest TOTAL USD,Open Interest LF,Open Interest LF USD,Long Positions,Long Value,Short Positions,Short Value,Net Positions,Net Percent,Net Percent LF,Net % LF Δ,Net Value (Base Currency),Net Value USD,,Currency Pairs - LF Strength Index,,,,,,,
USD (DXY),"104,500","39,075","4,083,337,500","28,190","2,945,855,000","19,095","1,995,427,500","9,095","950,427,500","10,000",25.59%,35.47%,8.78%,"1,045,000,000","1,045,000,000",,GBPCAD,USDCAD,GBPCHF,USDCHF,GBPAUD,EURCAD,GBPNZD,
EUR,"125,000","683,819","92,315,565,000","196,568","26,536,680,000","94,173","11,771,625,000","102,395","12,799,375,000","-8,222",-1.20%,-4.18%,-1.43%,"-1,027,750,000","-1,109,970,000",,56.20%,55.40%,50.00%,49.10%,41.50%,35.60%,29.90%,
GBP,"62,500","200,634","15,925,323,750","90,732","7,201,852,500","62,241","3,890,062,500","28,491","1,780,687,500","33,750",16.82%,37.20%,1.26%,"2,109,375,000","2,678,906,250",,EURCHF,NZDCAD,EURAUD,NZDCHF,GBPJPY,USDJPY,AUDCAD,
CAD,"100,000","340,218","24,835,914,000","85,782","6,262,086,000","10,601","1,060,100,000","75,181","7,518,100,000","-64,580",-18.98%,-75.28%,4.07%,"-6,458,000,000","-4,714,340,000",,29.30%,26.40%,20.80%,20.10%,17.20%,16.40%,14.80%,
AUD,"100,000","202,272","13,147,680,000","62,059","4,033,835,000","16,843","1,684,300,000","45,216","4,521,600,000","-28,373",-14.03%,-45.72%,1.40%,"-2,837,300,000","-1,844,245,000",,EURNZD,AUDCHF,GBPUSD,EURJPY,CADCHF,AUDNZD,NZDJPY,
NZD,"100,000","99,433","5,965,980,000","39,585","2,375,100,000","15,333","1,533,300,000","24,252","2,425,200,000","-8,919",-8.97%,-22.53%,20.53%,"-891,900,000","-535,140,000",,9.20%,8.50%,0.90%,-3.50%,-6.30%,-11.60%,-12.60%,
CHF,"125,000","97,021","13,582,940,000","24,072","3,370,080,000","4,488","561,000,000","19,584","2,448,000,000","-15,096",-15.56%,-62.71%,-0.92%,"-1,887,000,000","-2,113,440,000",,EURUSD,EURGBP,AUDJPY,NZDUSD,CHFJPY,CADJPY,AUDUSD,
JPY,"12,500,000","354,415","29,682,256,250","92,606","7,755,752,500","47,578","594,725,000,000","45,028","562,850,000,000","2,550",0.72%,2.75%,13.71%,"31,875,000,000","213,562,500",,-19.80%,-20.70%,-24.20%,-29.00%,-32.70%,-39.00%,-40.60%,
SP500 (E-MINI),"265,000","2,180,944","577,950,160,000","770,530","204,190,450,000","241,275","63,937,875,000","529,255","140,252,575,000","-287,980",-13.20%,-37.37%,10.05%,"-76,314,700,000","-76,314,700,000",,,,,,,,,
NAS100 (NQ MINI),"370,000","288,147","106,614,390,000","145,441","53,813,170,000","66,893","24,750,410,000","78,548","29,062,760,000","-11,655",-4.04%,-8.01%,11.88%,"-4,312,350,000","-4,312,350,000",,,,,,,,,
US30 (YM),"200,000","75,169","15,033,800,000","28,455","5,691,000,000","14,768","2,953,600,000","13,687","2,737,400,000","1,081",1.44%,3.80%,2.91%,"216,200,000","216,200,000",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
"Week of February 25, 2025 - COT Leveraged Funds >>> valid for trades from March 3, 2025",,,,,,,,,,,,,,,,,,,,,,,,
Currency,Contract Value,Open Interest TOTAL,Open Interest TOTAL USD,Open Interest LF,Open Interest LF USD,Long Positions,Long Value,Short Positions,Short Value,Net Positions,Net Percent,Net Percent LF,Net % LF Δ,Net Value (Base Currency),Net Value USD,,Currency Pairs - LF Strength Index,,,,,,,
USD (DXY),"104,500","38,062","3,977,479,000","24,754","2,586,793,000","15,680","1,638,560,000","9,074","948,233,000","6,606",17.36%,26.69%,5.86%,"690,327,000","690,327,000",,GBPCAD,USDCAD,GBPCHF,USDCHF,GBPAUD,GBPNZD,EURCAD,
EUR,"125,000","658,684","88,922,340,000","192,820","26,030,700,000","93,762","11,720,250,000","99,058","12,382,250,000","-5,296",-0.80%,-2.75%,3.16%,"-662,000,000","-714,960,000",,57.60%,53.00%,48.90%,44.20%,41.50%,39.50%,38.30%,
GBP,"62,500","200,468","15,912,147,500","89,218","7,081,678,750","60,643","3,790,187,500","28,575","1,785,937,500","32,068",16%,35.94%,-1.77%,"2,004,250,000","2,545,397,500",,EURCHF,GBPJPY,EURAUD,EURNZD,USDJPY,NZDCAD,AUDCAD,
CAD,"100,000","319,493","23,322,989,000","84,279","6,152,367,000","8,701","870,100,000","75,578","7,557,800,000","-66,877",-20.93%,-79.35%,5.51%,"-6,687,700,000","-4,882,021,000",,29.50%,23.50%,22.20%,20.20%,18.80%,18.10%,16.10%,
AUD,"100,000","185,971","12,088,115,000","64,836","4,214,340,000","17,142","1,714,200,000","47,694","4,769,400,000","-30,552",-16.43%,-47.12%,4.42%,"-3,055,200,000","-1,985,880,000",,NZDCHF,AUDCHF,GBPUSD,EURJPY,AUDNZD,CADCHF,EURUSD,
NZD,"100,000","90,322","5,419,320,000","34,219","2,053,140,000","9,742","974,200,000","24,477","2,447,700,000","-14,735",-16.31%,-43.06%,-0.52%,"-1,473,500,000","-884,100,000",,9.40%,7.30%,4.60%,4.10%,-2.00%,-8.80%,-14.70%,
CHF,"125,000","97,178","13,604,920,000","26,057","3,647,980,000","4,978","622,250,000","21,079","2,634,875,000","-16,101",-16.57%,-61.79%,-10.89%,"-2,012,625,000","-2,254,140,000",,NZDJPY,AUDJPY,EURGBP,CHFJPY,CADJPY,NZDUSD,AUDUSD,
JPY,"12,500,000","329,186","27,569,327,500","106,916","8,954,215,000","47,598","594,975,000,000","59,318","741,475,000,000","-11,720",-3.56%,-10.96%,10.37%,"-146,500,000,000","-981,550,000",,-16.00%,-18.10%,-19.30%,-25.40%,-34.20%,-34.90%,-36.90%,
SP500 (E-MINI),"265,000","2,126,872","563,621,080,000","708,600","187,779,000,000","186,291","49,367,115,000","522,309","138,411,885,000","-336,018",-15.80%,-47.42%,0.48%,"-89,044,770,000","-89,044,770,000",,,,,,,,,
NAS100 (NQ MINI),"370,000","286,114","105,862,180,000","140,141","51,852,170,000","56,135","20,769,950,000","84,006","31,082,220,000","-27,871",-9.74%,-19.89%,26.06%,"-10,312,270,000","-10,312,270,000",,,,,,,,,
US30 (YM),"200,000","79,313","15,862,600,000","28,079","5,615,800,000","14,165","2,833,000,000","13,914","2,782,800,000",251,0.32%,0.89%,5.87%,"50,200,000","50,200,000",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
"Week of February 18, 2025 - COT Leveraged Funds >>> valid for trades from February 24, 2025",,,,,,,,,,,,,,,,,,,,,,,,
Currency,Contract Value,Open Interest TOTAL,Open Interest TOTAL USD,Open Interest LF,Open Interest LF USD,Long Positions,Long Value,Short Positions,Short Value,Net Positions,Net Percent,Net Percent LF,Net % LF Δ,Net Value (Base Currency),Net Value USD,,Currency Pairs - LF Strength Index,,,,,,,
USD (DXY),"104,500","38,459","4,018,965,500","26,427","2,761,621,500","15,966","1,668,447,000","10,461","1,093,174,500","5,505",14.31%,20.83%,11.25%,"575,272,500","575,272,500",,GBPCAD,USDCAD,GBPAUD,GBPCHF,GBPNZD,EURCAD,USDCHF,
EUR,"125,000","638,024","86,133,240,000","190,075","25,660,125,000","89,424","11,178,000,000","100,651","12,581,375,000","-11,227",-1.76%,-5.91%,4.60%,"-1,403,375,000","-1,515,645,000",,61.30%,52.80%,44.60%,44.30%,40.10%,39.50%,35.90%,
